Sr.No,Movie_Title,Year,Region,Release_Type,IMDB,Letterboxd,RT_Critic,RT_Audience,Success_Metric,
73,Darlings,2022,Bollywood,Netflix,6.6,3,67,63,NULL,80.5
74,The Archies,2023,Bollywood,Netflix,5.9,2.1,25,61,NULL,52.3
75,Maharaj,2024,Bollywood,Netflix,5.8,2.5,29,78,NULL,38.4
76,Rebel Redge,2024,Hollywood,Netflix,6.9,3.3,96,70,NULL,148.7
77,Sector 36,2024,Bollywood,Netflix,7.3,3.1,47,71,NULL,24.5
78,Do Patti,2024,Bollywood,Netflix,5.2,2.5,41,45,NULL,194
79,Hustle,2022,Hollywood,Netflix,7.3,3.6,93,92,NULL,198.3
80,Jaane Jaan,2023,Bollywood,Netflix,7,3.1,75,81,NULL,41.8
81,Joker: Folie à Deux,2024,Hollywood,Theatrical,5.2,2.4,31,31,1670,NULL
82,Eternals,2021,Hollywood,Theatrical,6.2,2.7,47,77,1306,NULL
83,Star Wars: Rise of Skywalker,2019,Hollywood,Theatrical,6.3,2.3,51,86,89142,NULL
84,Babylon,2022,Hollywood,Theatrical,7.1,3.9,57,52,4156,NULL
85,Saltburn,2023,Hollywood,Netflix/Theatrical,7,3.4,72,79,796.8,350
86,Tenet,2020,Hollywood,Theatrical,7.3,3.4,70,76,"30,187.10",NULL
87,Blonde,2022,Hollywood,Netflix,5.4,2.1,43,36,NULL,37.34
88,Megalopolis,2024,Hollywood,Theatrical,4.7,2.3,46,34,115,NULL
89,Animal,2023,Bollywood,Theatrical,6.2,2.4,26,81,915,NULL
90,Adipurush,2023,Bollywood,Theatrical,2.6,1.5,7,62,343,NULL
91,Gehraiyaan,2022,Bollywood,Netflix,5.6,2.9,64,52,NULL,1.2
92,The Kerala Story,2023,Bollywood,Theatrical,6.8,2.3,14,52,303.97,NULL
93,Crew,2024,Bollywood,Theatrical,5.8,3,67,65,157.08,NULL
94,Merry Christmas,2024,Bollywood,Theatrical,6.9,3.4,84,84,26.02,NULL
95,Indian 2,2024,Bollywood,Theatrical,3.8,1.4,15,24,148.9,NULL
96,Bade Miyan Chote Miyan,2024,Bollywood,Theatrical,3.7,1.9,15,67,102.6,NULL
97,Kanguva,2024,Bollywood,Theatrical,4.5,1.6,20,52,106,NULL
98,Liger,2022,Bollywood,Theatrical,2.6,1.4,0,12,60.8,NULL
99,Laal Singh Chaddha,2022,Bollywood,Theatrical,5.6,3.2,69,90,133.5,NULL
100,Zero,2018,Bollywood,Theatrical,5.2,2.1,31,80,178,NULL
